,ResponseType,IPAddress,DurationS,Latitude,Longitude,Ocupacao,Estado ,Regiao,Hectares ,Culturas,Ano,Irrigado,SPD,BeneficioSPD,Cobertura,CulturadeCobertura,SLP,PDProblematica,PDRGly,PDRnome,PDRHerb,PRRHerbnome,RespAplic,TreinAplic,ManejoAlternativo,AdocaodeAuxinsT
40,IP Address,200.189.118.77,404,-25.41670227,-49.25,Produtor rural,PR,Sul,53,"Soja, CultInverno",2 (ex.: safra e safrinha),Nao,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao,,Produtor rural,Sim,Mecanico,Sim
41,IP Address,187.40.79.254,502,-2.69909668,-45.12240601,"Estudante, Tecnico agricola",MA,Nordeste,1200,"Algodao, Arroz, Eucalipto, Milho, Soja, CultInverno",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"arroz vermelho (Oryza sativa L), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.), trapoeraba (Commelina sp.)",Sim,Outros,Nao,,Agronomo,Nao,Nenhum,Nao tenho certeza
42,IP Address,191.194.253.212,936,-22.51400757,-44.10960388,"Agronomo, Cooperativa, Pesquisador em empresa",GO,Centro,1,"Cana-de-acucar, Feijao, Milho, Soja, Sorgo",2 (ex.: safra e safrinha),Parcialmente,Parcialmente,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,"Crotalaria sp.,  Urochloa sp.",Sim,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), picao (Bidens sp.), trapoeraba (Commelina sp.), Falso massambara,  erva-quente",Nao tenho certeza,,Nao tenho certeza,,Aplicador especialista,Sim,Cultural,Nao
43,IP Address,179.89.115.83,474,-30.17480469,-51.42100525,Agronomo,RS,Sul,4000,"Arroz, Soja",2 (ex.: safra e safrinha),Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Sim,Aveia,Sim,"arroz vermelho (Oryza sativa L), Azevem (Lolium sp.), capim-arroz (Echinochloa sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), tiririca (Cyperus sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)","Funcionario da fazenda,Produtor rural,Tecnico agricola",Nao tenho certeza,Fisico,Sim
44,IP Address,168.181.190.26,589,-12.68170166,-55.69950104,"Agronomo, Consultor",MT,Centro,NA,,2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,Brachiaria Ruziziense,Sim,"corda-de-viola (Ipomoea sp.), trapoeraba (Commelina sp.)",Nao,,Nao,,"Funcionario da fazenda,Produtor rural",Sim,Cultural,
45,IP Address,177.91.236.6,819,-15.14059448,-54.19499969,Agronomo,MT,Centro,12000,"Milho, Soja",2 (ex.: safra e safrinha),Nao,Parcialmente,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,"Milheto,  crotolaria",Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)","Funcionario da fazenda,Produtor rural",Sim,Cultural,Sim
46,IP Address,200.18.33.235,265,,,Estudante,RS,Sul,160,"Milho, Soja, Trigo, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Sim,"Azevem (Lolium sp.), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), tiririca (Cyperus sp.)",Sim,Azevem (Lolium sp.),Nao tenho certeza,,,,,
47,IP Address,177.223.35.8,400,-21.32000732,-46.33520508,Agronomo,"MG, SP",Sudeste,1000000,Cana-de-acucar,1 (ex.: safra),Nao,Nao,,Sim,,Nao,"capim colchao (Digitaria sanguinalis), capim massambara (Sorghum halepense), corda-de-viola (Ipomoea sp.),  corda de viola,  mucuna,  capim colch�o",Nao,,Nao,,Aplicador especialista,Sim,"Fisico,Nenhum",
48,IP Address,189.113.116.79,507,-12.68170166,-55.69950104,Pesquisador em empresa,MT,Centro,230000,"Arroz, Feijao, Milho, Soja","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,"Braquiaria,  milheto,  crotalaria",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), Outras (descreva)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da ACCase (ex. clethodim [Select]), Inibidor de fotossistema II (ex. atrazine,  linuron)","Agronomo,Aplicador especialista,Funcionario da fazenda",Sim,Cultural,Sim
49,IP Address,200.165.100.108,3375,-19.43629456,-44.27949524,"Estudante, Produtor rural",MG,Sudeste,5,HF,"3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,"crotalar,  lab lab e Feijao guandu",Nao,"caruru (Amaranthus sp.), picao (Bidens sp.), tiririca (Cyperus sp.), beldroega",Nao,,Nao,,Agronomo,Sim,"Cultural,Mecanico",
50,IP Address,177.79.47.47,479,-19.90170288,-43.96420288,"Agronomo, Pesquisador publico",MG,Sudeste,0,"Algodao, Cafe, Milho, Soja",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Nao,,Nao,"buva (Conyza sp.), Palmer (Amaranthus palmeri), picao (Bidens sp.)",Nao tenho certeza,,Nao,,Produtor rural,Nao,Nenhum,Sim
51,IP Address,187.53.241.174,575,-29.76669312,-55.76670074,Extensionista agricola,RS,Sul,1800,"Cana-de-acucar, Citrus, Feijao, HF, Milho, Soja",2 (ex.: safra e safrinha),Nao,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,"Aveia preta,  Azevem.",Sim,"Azevem (Lolium sp.), buva (Conyza sp.), corda-de-viola (Ipomoea sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Nao tenho certeza,,Produtor rural,Nao tenho certeza,"Biologico,Mecanico",Sim
52,IP Address,177.83.33.17,911,-27.67669678,-52.25589752,Agronomo,RS,Sul,9000,"Feijao, Milho, Soja, Trigo, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,"Aveia,  milheto,  capim Sudão,  ervilhaca,  centeio,  azevem.",Sim,buva (Conyza sp.),Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Nao,,"Funcionario da fazenda,Produtor rural,Tecnico agricola",Sim,Cultural,Nao tenho certeza
53,IP Address,131.0.219.121,149,,,"Agronomo, Produtor rural",MG,Sudeste,30000,"Cafe, Feijao, Milho, Soja",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), trapoeraba (Commelina sp.)",Sim,,,,,,,
54,IP Address,187.108.21.44,258,,,Agronomo,RS,Sul,15000,"Feijao, Milho, Soja, Trigo, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Sim,"Aveia,  nabo,  ervilhaca,  ",Nao,"Azevem (Lolium sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L)",Sim,"Azevem (Lolium sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,,,,,
55,IP Address,201.175.60.115,1195,-22.72740173,-47.64480591,Pesquisador publico,SC,Sul,20,Milho,1 (ex.: safra),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,"Aveia,  crotalaria,  triticale",Nao,"Azevem (Lolium sp.), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), tiririca (Cyperus sp.), trapoeraba (Commelina sp.)",Sim,buva (Conyza sp.),Nao,,Aplicador especialista,Sim,Cultural,Nao
56,IP Address,177.92.165.94,4194,-22.68229675,-48.56340027,Agronomo,SP,Sudeste,38900,Cana-de-acucar,"3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,crotalaria,Nao,"capim colchao (Digitaria sanguinalis), capim massambara (Sorghum halepense), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), tiririca (Cyperus sp.), Urochloa decumbens,  plantaginea,  Panicum maximum,  Rottboellia cochinchinensis,  Merremia ssp.,  Sennia ssp.,  Hemiscola aculeata,  Ricinus comunis,  Cynodon dactylon,  Urochloa decumbens,  plantaginea,  Panicum maximum,  Rottboellia cochinchinensis,  Merremia ssp.,  Sennia ssp.,  Hemiscola aculeata,  Ricinus comunis,  Cynodon dactylon,  ",Sim,,Nao tenho certeza,,"Agronomo,Aplicador especialista,Funcionario da fazenda,Tecnico agricola",Sim,"Cultural,Mecanico",
57,IP Address,177.9.83.49,278,,,Agronomo,SP,Sudeste,NA,Cana-de-acucar,"3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Crotalaria,Nao,"capim colchao (Digitaria sanguinalis), corda-de-viola (Ipomoea sp.)",Nao,,Nao tenho certeza,,,,,
58,IP Address,191.30.133.205,293,-23.51669312,-46.8999939,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT)",SP,Sudeste,NA,"Cafe, Citrus, HF","3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Nao,,Nao,,Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), Palmer (Amaranthus palmeri), picao (Bidens sp.), tiririca (Cyperus sp.), trapoeraba (Commelina sp.)",Sim,"buva (Conyza sp.), Palmer (Amaranthus palmeri)",Nao,,"Aplicador especialista,Funcionario da fazenda",Nao,"Biologico,Cultural,Mecanico",
59,IP Address,191.5.221.100,1846,-27.48330688,-53.40000153,"Agronomo, Extensionista agricola, Produtor rural",RS,Sul,10000,"Citrus, Eucalipto, Feijao, Milho, Soja, Sorgo, Trigo, CultInverno",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,"nabo forrageiro,  aveia e trigo",Sim,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), buva (Conyza sp.), trapoeraba (Commelina sp.)",Sim,"Azevem (Lolium sp.), capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)",Produtor rural,Sim,"Biologico,Cultural",Sim
60,IP Address,45.226.16.130,1106,-29.90820313,-54.79229736,"Agronomo, Extensionista agricola, Tecnico agricola",RS,Sul,5200,"Citrus, HF, Soja, Melancia",1 (ex.: safra),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo",Sim,Aveiax azevem,Sim,"buva (Conyza sp.), poaia-branca (Richardia brasiliensis), coqueirinho,  losna",Sim,buva (Conyza sp.),Sim,"Herbicidas mimetizadores de auxinas (ex.: 2, 4-D)",Produtor rural,Nao,Nenhum,Sim
61,IP Address,186.2.248.3,407,-23.522995,-49.07569885,Agronomo,SP,Sudeste,12000,Cana-de-acucar,1 (ex.: safra),Parcialmente,Nao,,Nao,,Nao,Braquiaria brizantha,Nao tenho certeza,,Sim,Inibidores da ACCase (ex. clethodim [Select]),Funcionario da fazenda,Sim,Mecanico,
62,IP Address,132.255.199.124,440,-19.71000671,-40.87309265,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT), Consultor","BA, ES, MG","Nordeste, Sudeste",2000,"Cafe, HF, Milho","3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Nao,,Nao,,Sim,"trapoeraba (Commelina sp.), Andropogon sp",Nao tenho certeza,,Nao tenho certeza,,"Funcionario da fazenda,Produtor rural",Nao tenho certeza,Nenhum,Nao tenho certeza
63,IP Address,200.134.18.226,927,-25.74580383,-53.09130096,Estudante,PR,Sul,60,"Feijao, Milho, Soja, Trigo, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Reducao na erosao do solo",Sim,"Aveia,  Azevem",Nao,"Azevem (Lolium sp.), buva (Conyza sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.), poaia-branca (Richardia brasiliensis), trapoeraba (Commelina sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidores da Protox (ex. fomesafen [Flex],  lactofen [Cobra])","Agronomo,Produtor rural",Sim,Cultural,Nao tenho certeza
64,IP Address,201.57.233.98,10500,,,"Agronomo, Consultor","GO, MT, MS, PI","Centro, Nordeste",35000,"Algodao, Arroz, Feijao, Milho, Soja, Sorgo, Pastagem",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Producao adicional de forragem para animais, Reducao na erosao do solo",Sim,"Brachiarias,  crotalaria,  nabo forrageiro",Sim,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), capim massambara (Sorghum halepense), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), picao (Bidens sp.), poaia-branca (Richardia brasiliensis), trapoeraba (Commelina sp.), Spermacoce verticilata",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,,,,,
65,IP Address,177.79.29.194,3071,,,"Agronomo, Pesquisador em empresa","GO, MG","Centro,  Sudeste",20,Cafe,1 (ex.: safra),Parcialmente,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao na compactacao do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,crotalaria e Feijao guandu,Nao,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), picao (Bidens sp.), tiririca (Cyperus sp.), trapoeraba (Commelina sp.)",Nao tenho certeza,,Nao tenho certeza,,,,,
66,IP Address,177.223.99.208,443,-23.48510742,-49.4078064,"Agronomo, Produtor rural",SP,Sudeste,500,"Cafe, Feijao, Milho, Soja, Sorgo, Trigo, CultInverno",2 (ex.: safra e safrinha),Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Milheto aveia preta vrachiaria,Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao,,"Funcionario da fazenda,Produtor rural",Sim,,Sim
67,IP Address,177.79.48.195,397,-19.90170288,-43.96420288,"Agronomo, Comercial (Gerencia/ATC/RTV/MKT)","GO, MG","Centro,  Sudeste",200000,"Algodao, Feijao, Milho, Soja, Sorgo","3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Sim,"Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica)",Nao tenho certeza,,Funcionario da fazenda,Sim,Cultural,Nao tenho certeza
68,IP Address,177.93.244.191,624,-30.17289734,-50.48699951,"Agronomo, Extensionista agricola, Tecnico agricola",RS,Sul,18000,"Arroz, Soja",1 (ex.: safra),Sim,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Melhor controle de plantas daninhas",Nao,,Sim,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), tiririca (Cyperus sp.)",Nao tenho certeza,,Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)","Cooperativa,Funcionario da fazenda,Produtor rural,Tecnico agricola, Revenda",Nao tenho certeza,"Cultural,Fisico",Nao tenho certeza
69,IP Address,179.144.12.104,209,-23.57330322,-46.64169312,"Agronomo, Pesquisador em empresa, Produtor rural","MG, SP",Sudeste,60,"Cana-de-acucar, Eucalipto, HF","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Nao,,Nao,,Sim,tiririca (Cyperus sp.),Sim,Tiririca,Nao tenho certeza,,Funcionario da fazenda,Sim,"Cultural,Mecanico",
70,IP Address,143.107.12.77,125,,,"Agronomo, Estudante, Pesquisador em empresa",SP,Sudeste,NA,"Cana-de-acucar, HF, Milho, Soja, Trigo","3 (ex.: safra,  safrinha e cultura de inverno)",Sim,Parcialmente,"Aumento na materia organica do solo, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Nao,,Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), tiririca (Cyperus sp.)",Nao tenho certeza,,Nao tenho certeza,,,,,
71,IP Address,177.79.35.171,251,-22.83050537,-43.2191925,Agronomo,MS,Centro,57000,Cana-de-acucar,1 (ex.: safra),Nao,Nao,,Sim,Crotalaria spectabilis,Nao,"capim colchao (Digitaria sanguinalis), capim massambara (Sorghum halepense), corda-de-viola (Ipomoea sp.)",Nao tenho certeza,,Nao tenho certeza,,Tecnico agricola,Sim,Mecanico,
72,IP Address,177.97.108.21,279,,,"Agronomo, Estudante, Extensionista agricola, Pesquisador publico, Produtor rural",RS,Sul,400,"Arroz, Citrus, Feijao, Milho, Soja, CultInverno","3 (ex.: safra,  safrinha e cultura de inverno)",Parcialmente,Parcialmente,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,,Sim,"arroz vermelho (Oryza sativa L), Azevem (Lolium sp.), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.), corda-de-viola (Ipomoea sp.)",Sim,"Azevem (Lolium sp.), buva (Conyza sp.)",Nao tenho certeza,,,,,
73,IP Address,177.86.160.134,542,-29.40710449,-53.43240356,Estudante,RS,Sul,162,Arroz,1 (ex.: safra),Sim,Nao,,Nao,,Sim,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), capim-pe-de-galinha (Eleusine indica), tiririca (Cyperus sp.)",Sim,capim-pe-de-galinha (Eleusine indica),Nao,,Produtor rural,Nao,"Fisico,Mecanico",
74,IP Address,179.104.60.113,527,-18.91540527,-48.27259827,Agronomo,"GO, MG","Centro,  Sudeste",300,"Milho, Soja, Sorgo",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Milheto,Nao,"capim-amargoso (Digitaria insularis), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)","Funcionario da fazenda,Produtor rural",Nao,Cultural,Nao
75,IP Address,191.11.204.226,613,-16.70100403,-49.26679993,"Agronomo, Tecnico agricola",MT,Centro,10,"Algodao, Milho, Soja",2 (ex.: safra e safrinha),Parcialmente,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Diminuicao  nos custos com manejo do solo, Diminuicao  no uso de agroquimicos, Maior infiltracao de agua  no solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Brachiaria e milheto,Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Sim,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), buva (Conyza sp.)",Nao,,Funcionario da fazenda,Sim,"Cultural,Mecanico",Nao tenho certeza
76,IP Address,201.93.245.99,312,-21.95280457,-47.99710083,"Agronomo, Pesquisador publico","AP, SP","Norte, Sudeste",20000,"Arroz, Cana-de-acucar, Feijao, Milho, Soja",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,Milheto braquiados ,Sim,"capim-amargoso (Digitaria insularis), capim colchao (Digitaria sanguinalis), buva (Conyza sp.), caruru (Amaranthus sp.), corda-de-viola (Ipomoea sp.), leiteiro (Euphorbia heterophylla L), tiririca (Cyperus sp.)",Nao tenho certeza,,Nao tenho certeza,,"Aplicador especialista,Produtor rural",Sim,Cultural,Sim
77,IP Address,131.161.119.230,450,-31.76669312,-52.33329773,"Agronomo, Estudante",SC,Sul,45,Arroz,1 (ex.: safra),Sim,Nao,,Nao,,Nao,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), tiririca (Cyperus sp.), Sagittaria montevidensis",Sim,buva (Conyza sp.),Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidor de fotossistema II (ex. atrazine,  linuron)",Produtor rural,Nao,"Fisico,Mecanico",
78,IP Address,179.189.49.50,830,-6.166702271,-54.15000153,Comercial (Gerencia/ATC/RTV/MKT),MT,Centro,30000,"Milho, Soja",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na materia organica do solo, Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Melhor controle de plantas daninhas, Reducao na erosao do solo",Sim,"Brachiaria ,  milheto,  crotalaria ",Nao,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), erva quente",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.), Erva quente",Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr), Inibidor de fotossistema II (ex. atrazine,  linuron)","Aplicador especialista,Funcionario da fazenda,Produtor rural",Sim,Cultural,Sim
79,IP Address,179.88.6.7,795,-30.03329468,-51.19999695,"Agronomo, Estudante, Pesquisador publico",RS,Sul,NA,Arroz,1 (ex.: safra),Sim,Parcialmente,"Aumento na produtividade das culturas, Diminuicao  nos custos com manejo do solo, Producao adicional de forragem para animais",Nao,,Nao,"arroz vermelho (Oryza sativa L), capim-arroz (Echinochloa sp.), tiririca (Cyperus sp.)",Nao tenho certeza,,Sim,"Inibidores da ALS (ex. nicosulfuron,  imazethapyr)","Funcionario da fazenda,Produtor rural,Tecnico agricola",Nao tenho certeza,Cultural,
80,IP Address,179.198.88.188,401,-21.08129883,-45.6242981,"Agronomo, Produtor rural",MG,Sudeste,450,"Cafe, Milho, Soja",2 (ex.: safra e safrinha),Nao,Sim,"Aumento na fertilidade do solo, Aumento na produtividade das culturas, Diminuicao na compactacao do solo, Maior infiltracao de agua  no solo, Reducao na erosao do solo",Sim,"Aveia,  tremoço",Nao,"capim-amargoso (Digitaria insularis), capim-pe-de-galinha (Eleusine indica), corda-de-viola (Ipomoea sp.), trapoeraba (Commelina sp.)",Sim,"capim-amargoso (Digitaria insularis), buva (Conyza sp.)",Nao,,Funcionario da fazenda,Sim,"Cultural,Fisico,Mecanico",Sim
